全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説
11,医療概論,11,第26回,問題1,1 現代の医療と社会,D. 医療経済,平成26年度の国民医療費について正しいのはどれか。,1. 40兆円を超える。,2. 介護保険の費用が含まれる。,3. 国民所得比は15％を超える。,4. 財源は患者負担が30％を超える。,1,"平成26年（2014年）度の国民医療費は**40兆8,071億円**で、40兆円を超えている。国民医療費が40兆円を超えたのは平成25年度からであり、**平成元年（1989年）度の約20兆円から2倍**となっていた。**介護保険**は平成12年度（2000年）から施行された医療保険から独立した社会保険制度で、その財源は医療保険とは別に徴収される。国民所得（NI）に対する比率は**11.20％**で、現在はほぼ横ばいである。国民医療費の財源は**医療保険**が約50％、**公費**が約40％で**患者負担**は約10％にとどまる。"
12,医療概論,12,第29回,問題1,1 現代の医療と社会,D. 医療経済,我が国の国民医療費の現状について正しいのはどれか。,1. 対国民所得比は15％を超える。,2. 国民医療費は50兆円を超える。,3. 財源は患者負担が30％を超える。,4. 国民一人あたりの医療費は年間30万円を超える。,4,"平成30年度（2018年）の国民医療費は**43兆3,949億円**で、前年に比べ0.8％の増加となっている。国民一人あたりの医療費は**34万3,200円**で、前年に比べ1.0％の増加となっている。国民所得（NI）に対する比率は**10.73％**となっている。国民医療費の財源は**医療保険が49.4％**、**公費が38.1％**、**患者負担は11.8％**で、前年とそう変わりはない。"
13,医療概論,13,第30回,問題2,1 現代の医療と社会,D. 医療経済,我が国の国民医療費に含まれるのはどれか。,1. 正常分娩の費用,2. 訪問看護の療養費,3. 入院時室料差額の費用,4. 予防接種の費用,2,国民医療費には①**診療費**、②**薬局調剤医療費**、③**訪問看護医療費**（介護保険を除く）、④**療養費**が含まれる。正常妊娠・分娩、健康診断、予防接種、室料差額、歯科材料差額などは含まれない。
14,医療概論,14,第33回,問題2,1 現代の医療と社会,D. 医療経済,我が国の国民医療費に含まれるのはどれか。,1. 予防接種の費用,2. 健康診断の費用,3. 帝王切開の費用,4. 入院時室料差額の費用,3,問題13の解説を参照。
15,医療概論,1,第28回,問題2,2 社会保障制度,A. 医療保険のしくみ,加入者と医療保険の組合せで正しいのはどれか。,1. 自営業者 ── 共済組合,2. 国家公務員 ── 協会けんぽ,3. 私立学校教職員 ── 健康保険組合,4. 無職者 ── 国民健康保険,4,医療保険には、健康保険、船員保険、国家公務員・地方公務員・私立学校教職員などの共済組合、および国民健康保険がある。**健康保険**は主に大企業の会社員とその家族（**健康保険組合**）、中小企業の会社員とその家族（**協会けんぽ**）が加入者となる。また、**船員保険**は船員とその家族、**共済組合**は公務員と私立学校教職員とその家族が対象となる。自営業や農業に従事するもの、被用者保険に加入していないものは**国民健康保険**の対象となる。
16,医療概論,2,第30回,問題3,2 社会保障制度,A. 医療保険のしくみ,被用者保険でないのはどれか。,1. 船員保険,2. 共済組合,3. 協会けんぽ,4. 国民健康保険,4,問題1の解説を参照。
17,医療概論,3,第31回,問題3,2 社会保障制度,A. 医療保険のしくみ,2017年の被用者保険で加入者が最も多いのはどれか。,1. 共済組合,2. 船員保険,3. 協会けんぽ,4. 組合管掌健康保険,3,"2017年の被用者保険の加入者は、**協会けんぽ**が2,322万人で最も多い。次いで、**健康保険組合**（組合管掌健康保険と政府管掌健康保険）の加入者は1,649万人、**共済組合**は453万人、**船員保険**は6万人である。"
18,医療概論,4,第25回,問題2,2 社会保障制度,A. 医療保険のしくみ,医療保険について正しいのはどれか。,1. 現金が支給されることはない。,2. 協会けんぽは被用者保険である。,3. 医師の同意を得た鍼灸術は療養の対象となる。,4. 組合管掌保険は自由に付加給付を行うことができる。,2,医療保険による給付は原則的に**現物給付**であるが、やむを得ない事情で保険証を提示できなかった場合の払い戻しや海外診療を受けた際の装具代などが療養費に該当するため、現金給付となる。医師の同意を得た6つの疾患（**神経痛**、**リウマチ**、**五十肩**、**頸腕症候群**、**腰痛症**、**頸椎捻挫後遺症**）については療養費の対象であるが、それ以外の疾患では療養の対象とならない。組合管掌保険における付加給付は、各組合が独自に行っているが、厚生労働省から自己負担金の金額に指導があるなど、一定範囲内で行うことができる。**協会けんぽ（全国健康保険協会）**は、主に**中小企業のサラリーマン**と**扶養者**が**被保険者**として加入する**被用者保険**である。
19,医療概論,5,第26回,問題2,2 社会保障制度,A. 医療保険のしくみ,公的医療保険の対象となるのはどれか。,1. インフルエンザの予防接種,2. 正常分娩,3. 人間ドック,4. 禁煙治療,4,**平成18年（2006年）**より、ニコチン依存度が高い患者に対する**禁煙治療**が**公的医療保険**の適用となった。ただし、保険診療を適用する条件があり、これを満たさない場合には自由診療（患者が全額負担の診療）となる。**公的医療保険**の対象となるものは、**国民医療費に含まれるもの**と同義と考えられるので、**予防接種**、**正常分娩**、**人間ドック**など国民医療費に含まれないものについては**公的医療保険適用外**と考えることができる。
20,医療概論,6,第25回,問題3,2 社会保障制度,B. 公費負担医療,公費医療の対象とならないのはどれか。,1. 生活保護法による医療扶助,2. 労働基準法による業務上疾病の治療,3. 精神保健及び精神障害者福祉に関する法律による措置入院,4. 母子保健法による養育医療,2,生活保護法による医療扶助および母子保健法による養育医療は、**社会福祉的**な公費医療。精神保健及び精神障害者福祉に関する法律による措置入院は、**社会防衛的**な公費医療である。その他に戦傷病者への療養の給付などの**国家賠償的**なものや、**難病対策**（指定難病医療費助成制度）などの公費医療がある。労働基準法による業務上疾病の治療（療養補償）は、**労働者災害補償保険法（労災保険）**が適用となり合致しない行われる給付で、**使用者（事業者）が療養費を負担**する。
21,医療概論,7,第33回,問題3,2 社会保障制度,B. 公費負担医療,公費医療の対象とならないのはどれか。,1. 生活保護法による医療扶助,2. 母子保健法による養育医療,3. 労働者災害補償保険法による療養,4. 精神保健福祉法による措置入院,3,問題6の解説を参照。
22,医療概論,8,第32回,問題2,2 社会保障制度,B. 公費負担医療,難病に対する公費負担医療に期待される役割として最も適切なのはどれか。,1. 国家賠償,2. 公衆衛生,3. 社会福祉,4. 研究推進,4,**特定疾患治療研究事業**とは、原因不明で治療法が未確立、いわゆる難病のうち、特定の疾患について治療研究事業を推進することにより、医療の確立、普及を図るとともに、公費負担医療でその負担の軽減を図ることを目的とした事業である。
23,医療概論,9,第29回,問題4,2 社会保障制度,C. 介護サービス行政,介護保険制度について正しいのはどれか。,1. 介護保険料は全国一律である。,2. 被保険者は75歳以上の者である。,3. 要介護認定の申請は市区町村に対して行う。,4. 地域包括支援センターは都道府県が設置する。,3,**介護保険制度**はわが国の社会保険制度の一つであり、保険者は市町村と特別区である。被保険者は**第1号被保険者**（65歳以上の者）、**第2号被保険者**（40〜64歳の医療保険加入者）とし、保険料が徴収されるが、保険料の支払い方法や保険料はそれぞれで異なる。介護保険の利用には、保険者である市町村および特別区に**要介護認定**の申請を行う必要がある。**地域包括支援センター**の設置主体は**市町村**であるが、在宅介護支援センターの運営法人、社会福祉法人、医療法人等の市町村から委託を受けた法人も設置することができる。
24,医療概論,10,第27回,問題2,2 社会保障制度,C. 介護サービス行政,介護保険の第1号被保険者はどれか。,1. 18歳以上,2. 20歳以上,3. 40歳以上,4. 65歳以上,4,問題9の解説参照。
25,医療概論,11,第30回,問題1,2 社会保障制度,C. 介護サービス行政,介護保険制度の保険者はどれか。,1. 国,2. 都道府県,3. 市町村,4. 介護施設,3,問題9の解説参照。
26,医療概論,12,第34回,問題4,2 社会保障制度,C. 介護サービス行政,介護保険制度について正しいのはどれか。,1. 保険者は都道府県である。,2. 被保険者は75歳以上である。,3. 要介護の認定区分は5つである。,4. 介護報酬の改定は毎年行われる。,3,介護レベル（要介護度）とは、公的介護保険制度において要介護認定の申請の際に判定される介護の必要性の程度を表す指標で、**認定区分**とも呼ばれる。要介護の認定区分は**5つ**（要介護1〜5）ある。介護報酬の改定は**3年**ごとに行われる（問題9、11の解説も参照）。
27,医療概論,1,第31回,問題2,3 医療倫理,B. 医療倫理教育,人生の最終段階に実施する医療を示すのはどれか。,1. QOL,2. ターミナルケア,3. バイオエシックス,4. ノーマライゼーション,2,**QOL**とは「生活の質（Quality of Life）」のことで、緩和ケアなどで重要視される。**ターミナルケア**は「終末期医療」のことで、患者のさまざまな苦痛（トータルペイン）に対し適切な治療・処置を行うことで、最後までその人らしく尊厳を持って過ごせるようにするアプローチを意味する。**バイオエシックス**は「生命倫理」ともいわれ、生命に関わるさまざまな倫理的諸問題を扱う学問である。**ノーマライゼーション**は、障害者を特別視することなく、一般市民と同じ環境で、同じ条件で、家庭や地域で共に生活することを目指す概念である。
28,医療概論,2,第26回,問題3,3 医療倫理,C. 施術者としての倫理,施術者の倫理について正しいのはどれか。,1. 業務上知り得た患者の秘密は研究目的であっても漏らしてはならない。,2. 「ヒポクラテスの誓い」は現代には通用しない。,3. 収益向上のためにはQOLは考えなくてもよい。,4. 「患者の権利宣言」は日本には適用されない。,1,患者の秘密（情報）については、**個人情報の保護に関する法律（個人情報保護法）**、**医療・介護関係事業者における個人情報の適切な取扱いのためのガイドライン**、**人を対象とする医学系研究に関する倫理指針**などにより保護されている。「**ヒポクラテスの誓い**」は古代ギリシャで成立したが、医師の職業倫理を明文化した宣誓文とされ、その内容の一部は現在でも通用する内容となっている。現在の医療では**QOL（生活の質：Quality of Life）**は非常に重要視される概念で、収益向上よりも優先される。日本独自のものはないが、「患者の権利宣言」を日本医師会などが採択している。ここに含まれる**インフォームド・コンセント**の概念や**守秘義務**については、それぞれ努力義務や規定が存在する。
29,医療概論,3,第34回,問題2,3 医療倫理,C. 施術者としての倫理,あはき施術者の倫理について正しいのはどれか。,1. 施術者本位の施術,2. 施術者の利益優先,3. 患者家族の要求優先,4. 患者の苦痛への共感,4,施術者本位の判断を優先したり、短略的に患者の要求のみを優先したりして、患者との対話を省略しインフォームド・コンセントを行わないことは、施術者の倫理として適切ではない。インフォームド・コンセントを実践することにより、施術者は患者に対して援助者としての立場を明確にし、双方向の対話を通して信頼関係を築いていくことが重要である。
30,医療概論,4,第28回,問題3,3 医療倫理,C. 施術者としての倫理,ヒトを対象とした医学研究の倫理について定めたのはどれか。,1. アルマ・アタ宣言,2. 患者の権利宣言,3. ジュネーブ宣言,4. ヘルシンキ宣言,4,1：**アルマ・アタ宣言** ─ プライマリヘルスケア。2：**患者の権利宣言（リスボン宣言）** ─ 自己決定権の尊重。3：**ジュネーブ宣言** ─ ヒポクラテスの誓い（医師の倫理）。4：**ヘルシンキ宣言** ─ ヒトを対象とした医学研究の倫理。
31,医療概論,5,第33回,問題1,3 医療倫理,C. 施術者としての倫理,医学研究の倫理に関する宣言はどれか。,1. ジュネーブ宣言,2. ヘルシンキ宣言,3. リスボン宣言,4. アルマ・アタ宣言,2,問題4の解説を参照。
32,医療概論,6,第29回,問題2,3 医療倫理,C. 施術者としての倫理,患者が治療に対して積極的に関わり、その決定を遵守するのはどれか。,1. アドヒアランス,2. コンプライアンス,3. 患者の自己決定権,4. インフォームド・コンセント,1,**アドヒアランス**とは患者が治療方針の決定に賛同し積極的に治療を受けることで、医療従事者と患者の相互理解を基にした関係である。一方、**コンプライアンス**とは患者が医療従事者の指示通り治療を受けることで、医療従事者から患者への一方的な指導関係を意味する。**患者の自己決定権**とは自分自身について自由に決定を下す権利を有することで、1981年の**リスボン宣言**で述べられている。**インフォームド・コンセント**は医療従事者からの十分な説明と患者の理解、納得、同意、選択を意味する。
33,医療概論,7,第27回,問題3,3 医療倫理,C. 施術者としての倫理,患者に対する施術者の役割で適切なのはどれか。,1. 援助者,2. 管理者,3. 指導者,4. 保護者,1,近年の患者医師関係においては、**患者中心型医療**が主流となっている。患者と医師は対等の立場で、医師は患者に対して**援助者**となることが求められる。医療従事者は医療に必要な患者の個人情報を取扱うが、これらの情報は患者の同意に基づいて利用目的の範囲内での利用に限定されている（**個人情報保護法**）。また、**あはき法**や**ジュネーブ宣言**においても業務上知り得た**患者の秘密を尊重（守秘）**することが求められている。
34,医療概論,8,第30回,問題4,3 医療倫理,C. 施術者としての倫理,患者が「よろしくお願いします」と言い、医療従事者が「お任せください」と言う会話から考えられる両者の関係はどれか。,1. パターナリズム,2. セカンドオピニオン,3. インフォームド・アセント,4. インフォームド・コンセント,1,**パターナリズム**とは医療従事者が患者に対して父親のように主導権を握り、患者の生命や健康を優先的に守る態度で診療にあたることをいう。治療方針は医療者が一方的に決定する。**セカンドオピニオン**とは患者自身が納得のいく治療方法を選べるように、主治医とは違う医療機関の医師に、病気の診断や治療方針について求める「第2の意見」をさす。**インフォームド・アセント**とは治療を受ける小児患者に対して、治療について理解できるよう分かりやすく説明し、その内容について子ども本人の納得を得ること、試験に関する同意を得ることをいう。問題6の解説参照。
35,医療概論,9,第33回,問題4,3 医療倫理,C. 施術者としての倫理,パターナリズムに基づいている行為はどれか。,1. 治療方針は医療者が決める。,2. 個人情報の保護に取り組む。,3. 患者の自己決定権を尊重する。,4. 患者が治療内容の説明を受ける。,1,問題6から問題8の解説を参照。
36,医療概論,10,第31回,問題4,3 医療倫理,C. 施術者としての倫理,「医師は子どものことを思う親のように、患者は親に保護される子どものように行動する」と表現される医療従事者と患者の関係性はどれか。,1. パターナリズム,2. セカンドオピニオン,3. 工学モデル,4. 契約モデル,1,医療情報は、患者─医療者間でやり取りされる情報であり、患者と医療者の相互が持っている知識や態度によってやり取りされる情報の量・質が異なっている。この患者─医療者関係は、医療の世界では、**工学モデル**、**契約モデル**、**牧師モデル**に分けられる。①**工学モデル**とは、①医師は科学者、②医療情報は検査データ中心、③医学用語使用、④患者や家族の置かれた状況は医療に無関係などの特徴がある。**契約モデル**は、①医師（医療者）は援助者、②患者の自己決定権を中心として医療における意思決定の責任を共有、③患者への情報開示尊重、④患者にとって最適な選択を共に模索などの特徴がある。問題8の解説も参照。
37,衛生学・公衆衛生学,1,第31回,問題6,4 環境と健康,A. 日常生活環境,上水道の水質基準で「検出されないこと」と決められているのはどれか。,1. 大腸菌,2. 水銀,3. ヒ素,4. 総トリハロメタン,1,"上水道の水質基準は水道法に定められている。**1：大腸菌**は動物の腸内細菌で、**糞便による汚染の指標**となるので検出されてはならない。2：水銀、3：ヒ素、および 4：総トリハロメタンなどの有害物質は基準値以下とされている。トリハロメタンは上水の消毒に用いた塩素と原水中に含まれる有機物が反応して生成される**発がん性物質**である。"
38,衛生学・公衆衛生学,2,第28回,問題6,4 環境と健康,B. 物理的環境,白内障の原因になりにくいのはどれか。,1. 紫外線,2. 可視光線,3. 赤外線,4. マイクロ波,2,"白内障は**水晶体のタンパク質が変性して白濁**する病気である。電離放射線や非電離放射線の中でも波長の短い**有害紫外線（UV-B）**はエネルギーが高く、タンパク質を変性させる。また、**赤外線**や**マイクロ波**は物質を加熱する作用（**熱作用**）があるので、熱によるタンパク変性をきたす。その間にある**可視光**は、水晶体タンパクに対する影響が比較的少ない。可視光の中でも波長の短い**青色光**は、**眼精疲労**や**加齢性黄斑**との関連が指摘されている。"
39,衛生学・公衆衛生学,3,第29回,問題8,4 環境と健康,B. 物理的環境,生体に照射してもイオン化しない放射線はどれか。,1. 陽子線,2. 中性子線,3. 赤外線,4. エックス線,3,"被照射物を電離（イオン化）させるものを**電離放射線**といい、アルファ線、ベータ線、中性子線などの**粒子線**やガンマ線やエックス線などの**電磁波**がある。被照射物を電離させないものを**非電離放射線**といい、可視光、赤外線、紫外線などの電磁波がある。"
40,衛生学・公衆衛生学,4,第27回,問題8,4 環境と健康,C. 化学的環境,生体内でホルモンの作用に影響を与える外因性物質の総称はどれか。,1. 大気汚染物質,2. 浮遊粒子状物質,3. 内分泌攪乱化学物質,4. 揮発性有機化合物,3,"3：**内分泌攪乱化学物質**の内分泌系への作用についてはまだ十分に解明されていない点もあるが、日本政府の見解では「**内分泌系に影響を及ぼすことにより、生体に障害や有害な影響を引き起こす外因性の化学物質**」とされている。よって、正解は3。"
41,衛生学・公衆衛生学,5,第30回,問題10,5 産業保健,A. 産業保健,産業衛生管理のうち作業管理はどれか。,1. 作業場の換気,2. 防塵マスクの使用,3. 定期健康診断の実施,4. 作業環境測定の実施,2,"労働衛生の3管理とは、**健康管理**、**作業管理**、**作業環境管理**をいう。健康管理は健康診断の実施や体力づくりによる健康増進など。作業管理は作業に伴う危険有害要因への暴露を軽減するための**作業方法の管理**、**作業時間の管理**など、作業環境管理は作業環境中の危険因子（ガス、粉塵、騒音、放射線、高温など）の**測定・管理**やより良い労働環境づくりなどである。よって、作業管理は**2**。1と4は作業環境管理、3は健康管理である。"
42,衛生学・公衆衛生学,6,第33回,問題8,5 産業保健,A. 産業保健,産業衛生管理のうち作業管理はどれか。,1. 作業場の換気,2. 作業環境測定の実施,3. 定期健康診断の実施,4. 呼吸用保護具の使用,4,"問題1の解説参照。**呼吸用保護具の使用**は**作業管理**に含まれる。（1・2は作業環境管理、3は健康管理）"
43,衛生学・公衆衛生学,7,第25回,問題4,5 産業保健,A. 産業保健,我が国の平成26年の業務上疾病で最も多いのはどれか。,1. 災害性腰痛,2. 物理的因子による疾病,3. じん肺および合併症,4. 化学物質による疾病,1,"近年、業務上疾病で最も多いのは「負傷に起因する疾病」で、そのほとんどが1：**災害性腰痛**である。2019年度では72.4%（災害性腰痛61.8%、腰痛以外10.6%）となっている。2：物理的因子による疾病は2位で13.5%、3：じん肺および合併症は2.0%、4：化学物質による疾病は2.6%。2020年度以降は新型コロナウイルス感染症の影響が大きく、「病原体による疾病」が2020年では2位、2021年〜2023年では1位となっている。新型コロナウイルス感染症を除けば、いずれの年度も「**負傷に起因する疾病**」が1位である。"
44,衛生学・公衆衛生学,8,第27回,問題4,5 産業保健,A. 産業保健,我が国の2016年に発生した業務上疾病で最も多いのはどれか。,1. 腰痛,2. じん肺,3. 心疾患,4. 酸素欠乏症,1,"問題3の解説を参照。業務上疾病で最も多いのは**腰痛（災害性腰痛）**である。"
45,衛生学・公衆衛生学,9,第27回,問題9,6 精神保健,A. 精神保健,我が国の2014年の患者調査で精神障害による入院患者が最も多いのはどれか。,1. 統合失調症,2. 気分障害,3. 神経症性障害,4. てんかん,1,"患者調査は、無作為抽出された医療機関を対象に3年ごとに実施される。入院・外来別に受療率が得られる。精神障害による入院で最も多いのは1：**統合失調症**、外来で最も多いのは2：**気分障害（うつ病を含む）**である。2023年の調査でも同様である。"
46,衛生学・公衆衛生学,10,第25回,問題5,6 精神保健,A. 精神保健,精神障害について正しいのはどれか。,1. てんかん発作は一時的な意識消失を伴う。,2. 認知症は知能が生来低下している状態である。,3. 抑うつは意識レベルの程度を表している。,4. 適応障害は脳の器質的障害が原因である。,1,"1：てんかんは、けいれん、**意識消失**、運動・感覚・自律神経・精神機能の障害などを伴う反復性の発作を主症状とする。2：認知症は**脳の器質的障害**により**一旦獲得された知能が持続的に低下**した状態をいう。生来低下しているのではない。3：抑うつ状態は精神状態の低下により不眠、思考能力の減退、易疲労感、食欲減退などの症状を引き起こした状態である。意識レベルの低下ではない。4：適応障害は**ストレス因**により引き起こされる情緒面や行動面の症状である。"
47,衛生学・公衆衛生学,11,第26回,問題9,6 精神保健,A. 精神保健,精神保健について正しいのはどれか。,1. 統合失調症は脳の器質的疾患である。,2. 認知症では夜間せん妄を生じやすい。,3. うつ病では見当識障害を生じやすい。,4. 適応障害の主症状は幻聴である。,2,"認知症にはアルツハイマー型認知症、脳血管型認知症、レビー小体型認知症などがあり、それぞれ症状の特徴があるが、共通する症状には記憶障害などの認知機能障害と、暴言・暴力、徘徊、妄想などの行動・心理・症状がある。**せん妄**は病気や薬の影響、環境の変化などの要因により誘発される**急性の意識障害**であり、高齢者や認知症患者では昼間より暗くなる**夕方〜夜**にかけて不安感が増し、**夜間せん妄**を起こしやすい。"
48,衛生学・公衆衛生学,12,第28回,問題5,6 精神保健,A. 精神保健,精神保健について誤っているのはどれか。,1. 長期に社会的入院をしている患者に退院促進支援事業を行う。,2. 地域医療計画に精神疾患が加えられた。,3. ハローワークで就労支援を行う。,4. 精神保健福祉センターは各市町村に置かれる。,4,"精神保健及び精神障害者福祉に関する法律（精神保健福祉法）は、精神障害者の福祉を重視し、精神障害者の自立と社会経済活動への参加の促進を目的としている。精神障害者の人権を尊重し、社会的入院から退院・社会復帰を促す。精神保健福祉センターは、この法律に基づき、**都道府県または政令指定都市**に設置される精神保健福祉に関する技術的中核機関である。第6次の医療計画から重点的に取り組み推進する項目に「精神疾患」が加えられ、**5疾患5事業**となった。第8次（令和6年〜）では「新興感染症発生・まん延時における医療」が加えられ、**5疾患6事業**となっている。"
49,衛生学・公衆衛生学,13,第34回,問題8,6 精神保健,A. 精神保健,精神保健福祉法に基づく緊急措置入院における入院期限として正しいのはどれか。,1. 24時間,2. 72時間,3. 1週間,4. 1か月間,2,"精神障害者本人の意思によらない入院形態のうち、**措置入院**は**2名以上**の精神保健指定医が自傷他害の恐れがあり入院が必要と診断した場合の都道府県知事による強制入院である。**緊急措置入院**は、緊急を要する場合で**1名**の精神保健指定医による診断により強制入院させることができるが、入院期間は**72時間以内**に制限される。"
50,衛生学・公衆衛生学,14,第29回,問題9,7 母子保健,A. 母子保健,地域の衛生状態や生活水準の影響を最も反映しやすい母子保健統計の指標はどれか。,1. 乳児死亡率,2. 死産率,3. 妊産婦死亡率,4. 周産期死亡率,1,"妊産婦死亡、死産や早期新生児死亡は母体の健康状態を強く反映する。周産期死亡は満22週以降の死産と早期新生児死亡を合わせたもの。乳児の死亡は母体の健康状態だけでなく**養育環境の衛生状態**などからも強く影響を受けるので、**乳児死亡率**は**地域社会の衛生水準**を表す指標としても利用される。"
