全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説
11,解剖学,11,第26回,問題17,2 骨格系,B. 脊柱,脊柱について正しいのはどれか。,1. 歯突起起部は軸椎にある。,2. 胸椎の連結による弯曲は前弯である。,3. 仙角角は体表から触れる。,4. 岬角は尾椎の前縁にある。,3,"【解説】3：仙骨角は**仙骨裂孔**を左右から取り囲む隆起部で、体表から触知できる。1：歯突起起は環椎（第1頸椎）にあり、歯突起が軸椎（第2頸椎）にある。歯突起と歯突起起は、**正中環軸関節**を形成する。脊柱の生理的弯曲において、2：前弯は頸椎と腰椎、後弯は胸椎と仙骨にみられる。4：岬角は仙骨の上面前縁にあり、骨盤径を測定する際の起点となる。正解 3"
12,解剖学,12,第31回,問題16,2 骨格系,C. 胸郭,胸郭について正しいのはどれか。,1. 胸骨角は第2肋骨と連結する。,2. 頸頸痕は胸骨体の上縁である。,3. 仮肋は肋骨号の構成に関与しない。,4. 大静脈脈は胸郭上口を通る。,1,"【解説】胸骨角は胸骨柄と胸骨体がなす角で、**第2肋軟骨が連結する。** 頸頸痕は胸骨柄の上縁にあり、頸部と胸部の境界をなす。仮肋は肋骨号の構成に関わる。肋骨号は第7〜第10肋骨が連結した弓状の軟骨部で、仮肋とは第8〜第12肋骨を指す。静脈系で胸郭上口を通るのは**鎖骨下静脈**で、右の腕頭静脈が胸郭内で合流して上大静脈となる。正解 1"
13,解剖学,13,第25回,問題17,2 骨格系,D. 上肢の骨格,尺骨にあるのはどれか。,1. 肘頭窩,2. 滑車切痕,3. 尺骨切痕,4. 尺骨神経溝,2,"【解説】2：**滑車切痕**は尺骨の近位にあり、上腕骨の滑車部と向き合い、腕尺関節を作る。1：肘頭窩は肘の伸展時に尺骨の肘頭が入るくぼみで、上腕骨の遠位部にある。4：尺骨神経溝は上腕骨の内側上顆の後面を通る溝で、尺骨神経が走行する。3：**尺骨切痕**は橈骨の遠位にあるわずかなくぼんだ関節面で、尺骨の関節環状面と下橈尺関節を形成する。正解 2"
14,解剖学,14,第29回,問題15,2 骨格系,D. 上肢の骨格,上肢の骨格について正しいのはどれか。,1. 肩甲骨上角は外側縁と上縁の間にある。,2. 上腕骨小頭は上腕骨滑車の外側にある。,3. 尺骨頭は尺骨の近位にある。,4. 舟状骨は手根骨の遠位列にある。,2,"【解説】上腕骨小頭は**腕橈関節**を、上腕骨滑車は**腕尺関節**を作る。解剖学的部位では外側が橈骨のため、上腕骨小頭が外側、上腕骨滑車は内側となる。肩甲骨上角は内側縁と上縁の間にある。尺骨頭は尺骨の遠位を指し、その端に尺骨茎状突起がある。手の舟状骨は近位手根骨に属し、かつ最も外側にある。正解 2"
15,解剖学,15,第32回,問題16,2 骨格系,E. 下肢の骨格,骨盤の分界線の構成に関与するのはどれか。,1. 岬角,2. 坐骨棘,3. 坐骨結節,4. 上前腸骨棘,1,"【解説】骨盤の分界線は大骨盤と小骨盤を分ける構造であり、前方から恥骨結合上縁、恥骨上枝、弓状線を通って仙骨の**岬角**に至る。坐骨棘には仙棘靭帯、坐骨結節には仙結節靭帯がそれぞれ付着する。上前腸骨棘からは**縫工筋**や大腿筋膜張筋が起始するが、いずれも分界線の構成には関わらない。正解 1"
16,解剖学,16,第33回,問題16,2 骨格系,E. 下肢の骨格,下肢の骨について正しいのはどれか。,1. 粗線は大腿骨体の前面にある。,2. 内頭側は脛骨の遠位内側にある。,3. 腓骨頭は脛骨との遠位端にある。,4. 小転子は大腿骨頸基部の内側下方にある。,4,"【解説】小転子は大腿骨頸の基部の内側下方に位置し、**腰筋**が停止する。粗線は大腿骨体の後面にあたり、大内転筋、長内転筋、大腿二頭筋短頭などが起始・停止する。長内転筋と短内転筋および恥骨筋の停止位置は内側にある。腓骨頭の遠位端は外果、腓骨頭の近位端は膝関節でない。正解 4"
17,解剖学,17,第33回,問題17,2 骨格系,F. 頭蓋骨,頭蓋底について正しいのはどれか。,1. 新生児の前頭骨は左右に分かれている。,2. 新生児の前頭骨と頭頂骨の間に小泉門がある。,3. 成人の左角の頭頂骨の間に冠状縫合がある。,4. 成人の前頭骨と頭頂骨の間にラムダ縫合がある。,1,"【解説】新生児の前頭骨は左右に分かれて発生する。このため、左右の前頭骨と頭頂骨で作られる**大泉門**は、菱形のへこみとなる。小泉門は左右の頭頂骨と後頭骨の間に作られ、閉鎖時期は大泉門より早い。成人で左右の頭頂骨の間にあるのは**矢状縫合**であり、冠状縫合は前頭骨と頭頂骨の間、**ラムダ縫合**は頭頂骨と後頭骨の間にある。正解 1"
18,解剖学,18,第27回,問題17,2 骨格系,F. 頭蓋骨,後頭蓋窩にあるのはどれか。,1. 下垂体窩,2. 棘孔,3. 斜台,4. 正円孔,3,"【解説】後頭蓋窩は、内頭蓋底のうち頭頂骨の集合体より後方の部分を指す。主に**後頭骨**によって構成され、正中部では斜台が後頭蓋窩に含まれる。3：斜台は後頭骨と蝶形骨によってつくられる斜面で、橋と延髄上部の前面が乗る。1：下垂体窩、2：棘孔と4：正円孔はいずれも**蝶形骨**の一部で、中頭蓋窩に位置する。正解 3"
19,解剖学,19,第30回,問題16,3 筋系,B. 体幹の筋,横隔膜について正しいのはどれか。,1. 呼吸筋である。,2. 頸神経に支配される。,3. 起始部は腱中心である。,4. 迷走神経は大動脈裂孔を通る。,2,"【解説】横隔膜は胸部と腹部の間にある腱筋膜で、頸神経叢から出る**頸神経**（主にC4）により支配される。このため、頸椎骨折で呼吸が停止することがある。横隔膜は収縮すると吸気に働く。腱中心は横隔膜の停止部であり、上方に向かってドーム状に盛り上がる横隔膜の中央部を指す。迷走神経は食道とともに**食道裂孔**を通る。正解 2"
20,解剖学,20,第34回,問題16,3 筋系,B. 体幹の筋,腹部の筋について最も適切なのはどれか。,1. 内腹斜筋は吸気に働く。,2. 腹直筋は腰神経で支配される。,3. 腹横筋下部の筋束は精巣提筋を形成する。,4. 外腹斜筋の停止腱膜の肥厚部が股溝靭帯である。,4,"【解説】鼠径靭帯は外腹斜筋の腱膜の下縁が、上前腸骨棘と恥骨結節の間で肥厚し、内方へ折り返して形成される。内腹斜筋は腹腔内圧を高め、呼気筋として作用する。腹直筋の神経支配において肋骨下神経（T11）および肋下神経（T12）である。肋骨挙筋と筋束が連続するのは、内腹斜筋と腹横筋である。正解 4"
21,解剖学,21,第31回,問題17,3 筋系,B. 体幹の筋,骨盤隔膜の主体をなすのはどれか。,1. 内閉鎖筋,2. 肛門挙筋,3. 深会陰横筋,4. 外肛門括約筋,2,"【解説】骨盤隔膜は骨盤底を作る骨盤底筋群により構成され、会陰腺中心より後方の部分を指す。その大部分を**肛門挙筋**が占める（図1）。**外肛門括約筋**は、肛門を環状に取り巻く括約筋で、随意排便で重要な役割を果たしている。深会陰横筋は、骨盤隔膜の前方に位置する**尿生殖隔膜**の主体をなし、会陰中心の形成にあずかる。内閉鎖筋は閉鎖膜に起始しており、骨盤隔膜に関与しない。正解 2"
22,解剖学,22,第28回,問題18,3 筋系,B. 体幹の筋,背部の筋で正しいのはどれか。,1. 菱形筋は肩甲骨を上内方に引く。,2. 板状筋は脊柱起立筋の一つである。,3. 後頭下筋群は大後頭神経に支配される。,4. 横突棘筋群で長さが最も短いのは多裂筋である。,1,"【解説】菱形筋は僧帽筋の深層に位置する。第6頸椎〜第4胸椎の棘突起から起始して**肩甲骨内側縁**に停止し、肩甲骨を上内方に引く。脊柱起立筋は腸肋筋、最長筋、棘筋からなる。板状筋は後頭部の深層にあるが、脊柱起立筋には含まれない。後頭下筋群は**大後頭神経**（C2の後枝）ではなく、後頭下神経（C1の後枝）に支配される。横突棘筋は半棘筋、多裂筋、回旋筋に分類される。このうち最も長さが短いのは、横突起と1つ上位の棘突起を結ぶ**短回旋筋**である。正解 1"
23,解剖学,23,第25回,問題19,3 筋系,B. 体幹の筋,深背筋について正しいのはどれか。,1. 頭半棘筋は乳様突起に停止する。,2. 腸肋筋は体幹の回旋を行う。,3. 上後鋸筋は肋骨を引き下げる。,4. 板状筋は腰神経に支配される。,2,"【解説】2：**肋骨筋**は脊柱起立筋の一部で、腸骨と肋骨を結ぶ。最長筋や棘筋と共同して、脊柱を背屈側屈するほか、脊柱の回旋運動にかかわる。1：頭半棘筋は下部頸椎と上部胸椎の横突起から起始し、外頭蓋起起方の外方（上項線と下項線の間）に停止する。3：上後鋸筋は息の吸気補助筋であり、肋骨を引き上げる方向に動く。4：板状筋は後頭部の深層に位置する筋で、頭板状筋と頸板状筋に分けられる。頸神経によって支配される。正解 2"
24,解剖学,24,第32回,問題17,3 筋系,C. 上肢の筋,前腕の屈筋群について正しいのはどれか。,1. 円内回筋を橈骨神経が貫く。,2. 橈側手根屈筋は上腕骨内側上顆から起こる。,3. 長掌筋は手根管を通る。,4. 尺側手根屈筋は正中神経支配である。,2,"【解説】橈側手根屈筋は前腕の屈筋群に属し、円内回筋や長掌筋、尺側手根屈筋、浅指屈筋などとともに、上腕骨内側上顆から起始する。円内回筋を貫くのは**正中神経**である。長掌筋は、手根管を通る位置する**手掌腱膜**に停止するため、手根管は通らない。尺側手根屈筋は**尺骨神経**の支配を受ける。正解 2"
25,解剖学,25,第30回,問題17,3 筋系,C. 上肢の筋,上肢の筋と作用の組合せで正しいのはどれか。,1. 大円筋 ── 肩関節の外転,2. 長掌筋 ── 橈骨手根関節の伸展,3. 浅指屈筋 ── 遠位指節間関節の屈曲,4. 腕橈骨筋 ── 肘関節の屈曲,4,"【解説】腕橈骨筋の作用は肘関節の屈曲であり、中間位から回内位で力を発揮する。長掌筋は**手掌腱膜**に停止し、橈骨手根関節屈曲させる。大円筋の作用は肩関節の内旋と内転であり、肩関節の外転は三角筋と棘上筋によって行われる。浅指屈筋は近位指節間関節屈曲させる。遠位指節間関節の屈曲は**深指屈筋**の作用である。正解 4"
26,解剖学,26,第29回,問題16,3 筋系,D. 下肢の筋,大腿の筋で大腿神経に支配されるのはどれか。,1. 大腿二頭筋,2. 薄筋,3. 半腱様筋,4. 縫工筋,4,"【解説】大腿神経は、大腿前面の筋を主に支配する。縫工筋のほか、腸腰筋、大腿四頭筋や恥骨筋などに分布する。大腿二頭筋は長頭が**座骨神経**、短頭が**総腓骨神経**の支配となる。薄筋は**閉鎖神経**、半腱様筋は座骨神経にそれぞれ支配される。正解 4"
27,解剖学,27,第25回,問題18,3 筋系,D. 下肢の筋,単関節筋はどれか。,1. 薄筋,2. 縫工筋,3. 大内転筋,4. 大腿直筋,3,"【解説】隣り合う2骨に起始と停止が存在する筋を**単関節筋**と呼ぶ。このとき、起始と停止の間に介在する関節は一つのみとなる。選択肢では、3：**大内転筋**（起始：恥骨下枝、停止：大腿骨粗線内側唇と内側上顆の上面）が該当する。1：薄筋、2：縫工筋、4：大腿直筋はいずれも起始が寛骨、停止が脛骨にあり、股関節と膝関節をまたぐため**二関節筋**に分類される。正解 3"
28,解剖学,28,第31回,問題18,3 筋系,D. 下肢の筋,下腿の筋で腱が内果の後下方を通るのはどれか。,1. 長腓骨筋,2. 下腿三頭筋,3. 後脛骨筋,4. 長母指伸筋,3,"【解説】足の屈筋支帯の下を通る腱が内果の後下方を通る。通過するのは**後脛骨筋**、長指屈筋、**長母指屈筋**の3筋の腱となる。長腓骨筋腱は外果の後下方を通る。下腿三頭筋の腱はまっすぐ下方に向びて踵骨隆起に停止し、踵骨腱（アキレス腱）となる。長母指伸筋腱は足の伸筋支帯の下を通って母指の末節骨底に停止する。正解 3"
29,解剖学,29,第27回,問題19,3 筋系,E. 頭頸部の筋,咀嚼筋について正しいのはどれか。,1. 咬筋の起始は蝶形骨である。,2. 側頭筋の停止は下顎骨筋突起である。,3. 外側翼突筋は上顎神経に支配される。,4. 内側翼突筋は下顎骨を前方移動させる。,2,"【解説】咀嚼筋は、咀嚼時に用いられる4つの骨格筋の総称である。2：側頭筋、4：内側翼突筋、3：外側翼突筋、1：咬筋によって構成される。このうち、側頭筋は最も大きく、起始が側頭骨、停止が下顎骨の**筋突起**である。咬筋の起始は頬骨弓（側頭骨と頬骨）である。咀嚼筋はいずれも下顎神経（三叉神経第3枝）の支配を受ける。内側翼突筋は下顎を持ち上げる作用を持つ。下顎を前方に移動させるのは、**外側翼突筋**である。正解 2"
30,解剖学,30,第33回,問題19,3 筋系,E. 頭頸部の筋,頸部の筋について正しいのはどれか。,1. 前斜角筋は鎖骨に停止する。,2. 広頸筋は頸神経で支配される。,3. 前斜角筋と中斜角筋の間を腕神経叢が通る。,4. 後頭下筋群は第1頸神経の前枝で支配される。,3,"【解説】前斜角筋、中斜角筋および第1肋骨によって作られる隙間を**斜角筋隙**と呼ぶ。この隙間を腕神経叢と鎖骨下動脈が通過する。前斜角筋は第1肋骨に停止する。広頸筋は口角から頸部前面と胸部前面上部に広がる皮筋で、**顔面神経**が支配する。後頭下筋群は**後頭下神経**（第1頸神経の後枝）の支配を受ける。正解 3"
31,解剖学,31,第29回,問題17,3 筋系,E. 頭頸部の筋,頭頸部の筋について正しいのはどれか。,1. 上眼瞼挙筋は顔面神経支配である。,2. 外側翼突筋は下顎骨を挙上する。,3. 前斜角筋は第2肋骨に停止する。,4. 胸鎖乳突筋は大鎖骨上窩の前縁を形成する。,4,"【解説】大鎖骨上窩（肩甲鎖骨三角）は胸鎖乳突筋、肩甲舌骨筋および鎖骨によって構成され、皮下を**鎖骨下動脈**が走行する。胸鎖乳突筋の鎖骨頭が大鎖骨上窩の前縁を形成する。上眼瞼挙筋は**動眼神経**が支配する。外側翼突筋は下顎を前方に移動させる。前斜角筋は**第1肋骨**に停止する。正解 4"
32,解剖学,32,第29回,問題18,4 循環器系,B. 心臓,心臓について正しいのはどれか。,1. 大動脈口は肺動脈口の前方にある。,2. 腱索は半月弁に付着する。,3. 洞房結節は右心房壁にある。,4. 後室間枝は左冠状動脈の枝である。,3,"【解説】洞房結節は右心房（上大静脈開口部付近）の壁に位置し、規則正しい脱分極して**心房**を収縮させる。冠状溝で心臓を切断すると、肺動脈口は前方、大動脈口はほぼ中央に位置する。腱索は左右の**房室弁**に付着し、半月弁には付着しない。後室間枝は右冠状動脈の枝であり、**後室間溝**の上を走る。正解 3"
33,解剖学,33,第32回,問題18,4 循環器系,B. 心臓,心臓について正しいのはどれか。,1. 右冠状動脈は心臓の前面に分布する。,2. 心尖は第4肋間の高さに位置する。,3. 動脈弁は腱索で乳頭筋とつながる。,4. 冠状静脈洞は右心房に注ぐ。,4,"【解説】心臓の栄養血管は冠状動脈である。その静脈血は冠状静脈洞に集まり、上大静脈や下大静脈とともに**右心房**に注ぐ。右冠状動脈は心臓の後面を中心に栄養する。心臓の前面に分布する主な枝として、左冠状動脈の前室間枝がある。心尖は左**第5肋間**の高さに位置する。動脈弁は半月弁とも呼ばれ、心室と動脈の間にある。腱索で乳頭筋とつながるのは房室弁である。腱索は、弁尖が反転するのを防ぐ。正解 4"
34,解剖学,34,第33回,問題20,4 循環器系,B. 心臓,心臓について正しいのはどれか。,1. 前縦隔に位置する。,2. 右房室弁を僧帽弁と呼ぶ。,3. 肺動脈弁は大動脈弁の前方にある。,4. 洞房結節は下大静脈の開口部付近にある。,3,"【解説】心臓の弁において、大動脈弁は中央、肺動脈弁がその前方に位置する。心臓は中縦隔に位置する。解剖学的な前縦隔は上縦隔の尾側心臓より前方の部分を指し、胸腺などが存在する。僧帽弁は左房室弁で、右房室弁は**三尖弁**と呼ばれる。洞房結節は右心房（**上大静脈**の開口部付近）にある。正解 3"
35,解剖学,35,第26回,問題19,4 循環器系,B. 心臓,心臓について正しいのはどれか。,1. 心臓は後縦隔に位置する。,2. 心外膜は胸膜の壁側板である。,3. 房室結節は心房を収縮させる。,4. 大心臓静脈は冠状溝を走行する。,4,"【解説】4：大心臓静脈は心尖部付近から始まる静脈で、前室間溝を上行した後に冠状溝を走行する。冠状溝に沿って心臓の左縁を回り、**冠状静脈洞**に注ぐ。1：心臓は縦隔中部に位置する。後縦隔は心臓より後方の部分を指し、胸大動脈、胸管、食道、奇静脈、迷走神経などが走行する。2：心外膜は心筋の外面を覆う膜であり、漿膜性心膜の臓側板に当たる。3：房室結節は、洞房結節の興奮を心室に伝える心筋繊維である。心房は**洞房結節**の興奮によって収縮する。正解 4"
36,解剖学,36,第30回,問題18,4 循環器系,C. 動脈系,外頸動脈の枝はどれか。,1. 眼動脈,2. 椎骨動脈,3. 頸動脈,4. 下甲状腺動脈,3,"【解説】外頸動脈は頸動脈三角で総頸動脈から分かれ、頭頸部を栄養する8本の枝を出す。頸動脈は外頸動脈の大きな枝で、上顎や下顎など顔面部に幅広く分布する。眼動脈は**内頸動脈**の枝で、眼窩を中心に分布する。椎骨動脈は**鎖骨下動脈**の枝で、横突孔を通って脳に至る。下甲状腺動脈も鎖骨下動脈の枝で、甲状腺の下部と後部を栄養する。正解 3"
37,解剖学,37,第28回,問題19,4 循環器系,C. 動脈系,内腸骨動脈の枝はどれか。,1. 上直腸動脈,2. 上股動脈,3. 内側大腿回旋動脈,4. 卵巣動脈,2,"【解説】上股動脈は**内腸骨動脈**から分かれる大きな動脈枝で、上股神経とともに**梨状筋上孔**通って股部に至る。中股筋や大股筋の一部を栄養する。上直腸動脈は下腸間膜動脈の終枝で、小骨盤の中を直腸に向かって走行し、内肛門括約筋まで達する。内側大腿回旋動脈は、外側大腿回旋動脈とともに大腿深動脈より分かれる。内転筋群の上方を大腿骨頸にそって進んで転子窩に至り、大腿外旋筋群や内転筋群等を栄養する。卵巣動脈は腹大動脈から分岐する。正解 2"
38,解剖学,38,第34回,問題17,4 循環器系,C. 動脈系,内転筋管を通過するのはどれか。,1. 膝窩動脈,2. 大腿動脈,3. 大腿深動脈,4. 閉鎖動脈,2,"【解説】内転筋管（ハンター管）は大腿中央1/3に位置する通路で、縫工筋、内側広筋、**大内転筋**および長内転筋が構成する。トンネル状の構造の中を大腿動脈、大腿静脈、伏在神経が通過する。大腿動脈は内転筋管の通過後、内転筋腱裂孔を抜けて**膝窩動脈**へと名称を変える。閉鎖動脈は**閉鎖管**を通過し、大腿内転筋群や大腿骨頭に分布する。正解 2"
39,解剖学,39,第30回,問題23,10 神経系,B. 中枢神経系,皮膚について正しいのはどれか。,1. 毛幹の下端を毛球という。,2. 乳腺は皮膚腺の一種である。,3. 表皮は多列円柱上皮である。,4. メラノサイトは真皮にある。,2,"乳腺は皮膚腺の一種で、その他の皮膚腺には汗腺と脂腺がある。毛幹は毛が体表に出ているところを指す。毛幹の下端は、毛根との境界にあたる。表皮は物理的刺激に強い**重層扁平上皮**で作られる。ほとんどのメラノサイトは表皮にある。小児期に蒙古斑を形成するメラノサイトは例外的に真皮に存在するが、他の選択肢を考えるとこれは誤りとなる。"
40,解剖学,40,第25回,問題25,10 神経系,B. 中枢神経系,感覚とその中継核の組合せで正しいのはどれか。,1. 触覚 ― 後索核,2. 聴覚 ― 上丘,3. 嗅覚 ― 孤束核,4. 視覚 ― 内側膝状体,1,"1：**後索核**は脊髄後索へ続く部分で、延髄にある。触覚の中継をする神経核であり、上半身の情報を中継する楔状束核と下半身情報を中継する薄束核に分かれる。2：**上丘**は中脳の四丘体（中脳蓋）にある左右2個の隆起で、視刺激に対する反射中枢となる。中脳での聴覚の中継核は下丘である。3：嗅覚は篩板の上にある嗅球で中継される。孤束核は延髄にあり、味覚を中継する。4：**内側膝状体**は視床（間脳）にあり、聴覚を中継する。内側膝状体の外側に位置するのが**外側膝状体**で、視覚を中継する。"
41,解剖学,41,第34回,問題20,10 神経系,B. 中枢神経系,視覚伝導路について正しいのはどれか。,1. 対光反射は下丘を経由する。,2. 視覚情報は内側膝状体で中継される。,3. 各眼球の視野の左側半からの情報は右脳へ送られる。,4. 各眼球の耳側半（外側半）の網膜からの線維は視交叉で交叉する。,3,"視覚の伝導路において、視野の左側で捉えた視覚情報は、左右ともに右の視覚野に送られる。これは、**視交叉**で鼻側半（内側）の網膜線維が交叉するのに対し、耳側半（外側）は交叉しないためである。対光反射は**上丘**を経由する。下丘は聴覚に関与する。視覚は視床の**外側膝状体**で中継される。内側膝状体は聴覚を中継する。"
42,解剖学,42,第29回,問題23,10 神経系,C. 抹消神経系,脳神経で瞳孔を縮小させるのはどれか。,1. 視神経,2. 動眼神経,3. 滑車神経,4. 外転神経,2,"瞳孔の縮小は自律神経の作用により生じる。虹彩上に位置する**瞳孔括約筋**が収縮すると縮瞳が生じ、この筋を動眼神経が支配する。なお、選択肢で自律神経（副交感）の成分を持つのは、動眼神経のみである。視神経は視覚情報を脳に伝える。滑車神経と外転神経は、動眼神経とともに**外眼筋**を支配する。"
43,解剖学,43,第27回,問題18,10 神経系,C. 抹消神経系,顔面神経が支配する筋はどれか。,1. 顎舌骨筋,2. 胸骨舌骨筋,3. 茎突舌骨筋,4. 甲状舌骨筋,3,"舌骨に付着する筋群は、舌骨の上に存在する舌骨上筋と、舌骨下方に位置する舌骨下筋に分類される。この両者は、舌骨を上方にあるいは下方に引くという筋の作用に加え、支配神経も異なる。舌骨上筋は脳神経、舌骨下筋は頸神経と頸神経ワナに支配される。3：茎突舌骨筋は頭蓋の茎状突起と舌骨を結ぶ舌骨上筋で、顔面神経の支配を受ける。1：顎舌骨筋も舌骨上筋に属するが、三叉神経第3枝から分かれた神経によって支配される。2：胸骨舌骨筋、4：甲状舌骨筋は、いずれも舌骨下筋に属する。"
