全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説																									
102,関係法規,11,第34回,問題12,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する規制,あはき法で、業務開始の届出が必要なのはどれか。,1. 専ら出張のみによって業務を行う施術者,2. 自らの施術所の開設届出を済ませている施術者,3. 施術所で新たに雇われる施術者,4. 自らの施術所の施術料金の改定をした施術者,1,"**【解説】** 1：問題1の解説を参照。"
103,関係法規,12,第28回,問題15,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する規制,あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）であらかじめ届け出なければならないのはどれか。,1. 専ら出張による業務を始めるとき,2. 休止していた施術所を再開するとき,3. 届出区域外に滞在して業務を行おうとするとき,4. 施術所を廃止しようとするとき,3,"**【解説】** 1：専ら出張のみによってその業務に従事する施術者は、その旨を住所地の都道府県知事に届け出なければならない［第9条の3］。2、4：施術所を開設・届出事項変更・休止・廃止・再開した者は、その日から**10日以内**に施術所の所在地の都道府県知事にその旨を届け出なければならない［第9条の2］。3：届出区域外に滞在して業務を行おうとするときは、あらかじめ、業務を行う場所、施術者の氏名等を滞在地の都道府県知事に届け出なければならない［第9条の4］。"
104,関係法規,13,第25回,問題12,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する規制,あん摩マッサージ指圧師、はり師、きゅう師等に関する法律で、休止していた施術所を再開する際の必要な届け出の期限はどれか。,1. 再開前7日以内,2. 再開前5日以内,3. 再開後10日以内,4. 再開後30日以内,3,"**【解説】** 施術所の開設者は、施術所の開設・廃止・休止・再開・変更の日から**10日以内**にその旨を開設場所の都道府県知事に届け出なければならない［あはき法第9条の2］。"
105,関係法規,14,第30回,問題12,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する規制,あはき法における施術所の届出事項で、変更が必要でないのはどれか。,1. 出張による施術を開始した。,2. 業務に従事する施術者が変わった。,3. 施術室を広くした。,4. 開設者が変わった。,1,"**【解説】** 1：出張施術のみの場合は施術所の開設は不要費用。出張による施術を開始したときは、その旨を住所地の都道府県知事に届け出なければならない［あはき法第9条の3］。2、3：施術所の届出事項は①**開設者の氏名及び住所**②**開設の年月日**③**名称**④**開設の場所**⑤**業務の種類**⑥**業務に従事する施術者の氏名**⑦**構造設備の概要及び平面図**であり、これに変更が生じた場合は変更後10日以内に施術所の所在地の都道府県知事に届け出なければならない［あはき法第9条の2、あはき法施行規則第22条］。4：開設者の氏名が変わった場合は届出事項の変更でよいが、開設者が他者に代わった場合は、最初の開設者が廃止の届出を行い、新しい開設者が開設の届出を行う。"
106,関係法規,15,第29回,問題12,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する規制,あはき法で、施術所の構造設備について正しいのはどれか。,1. 待合室は6.6平方メートル以上でなければならない。,2. 施術室は専用でなければならない。,3. 施術室は、室面積の5分の1以上に相当する部分を外気に開放しうるものでなければならない。,4. 施術に用いる器具、手指等の消毒室を設けなければならない。,2,"**【解説】** 2：施術所の備えるべき構造設備基準は、次の通り規定されている。①**6.6平方メートル以上の専用の施術室**を有すること。②**3.3平方メートル以上の待合室**を有すること。③施術室は、**室面積の7分の1以上に相当する部分を外気に開放**し得ること。ただし、これに代わるべき適当な**換気装置**があるときはこの限りでない。④施術に用いる**器具、手指などの消毒設備**を有すること。"
107,関係法規,16,第32回,問題11,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する規制,あはき法に規定される施術所の構造設備について**誤っている**のはどれか。,1. 施術室は、室面積の8分の1に相当する部分を外気に開放しうる。,2. 施術室の隣室に器具、手指等の消毒の設備を設ける。,3. 8.8平方メートルの専用の施術室を有する。,4. 6.6平方メートルの待合室を有する。,1,"**【解説】** 1：問題6の解説を参照。"
108,関係法規,17,第33回,問題12,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する規制,あはき法で、施術所の構造設備の基準として**誤っている**のはどれか。,1. 6.6平方メートル以上の専用の施術室を有する。,2. 3.3平方メートル以上の待合室を有する。,3. 施術器具や手指などの消毒設備を有する。,4. 施術室は室面積の9分の1以上に相当する部分を外気に開放し得る。,4,"**【解説】** 4：問題6の解説を参照。"
109,関係法規,18,第27回,問題14,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する規制,あん摩マッサージ指圧師、はり師、きゅう師等に関する法律に基づいて施術所を開設した場合、適切でないのはどれか。,1. 待合室は10平方メートルとした。,2. 施術に用いる器具・手指等の消毒設備を用意した。,3. 採光、照明及び換気を充分にした。,4. 施術室の一角を待合室とした。,4,"**【解説】** 4：施術所の構造設備基準として、専用の施術室が必要である［あはき法規則第25条］。1、2、3：問題6の解説を参照。"
110,関係法規,19,第28回,問題14,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する規制,あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）で施術者もしくは施術所の開設者から必要な報告を提出させることができるのはどれか。,1. 市町村長,2. 都道府県知事,3. 地方厚生局長,4. 厚生労働大臣,2,"**【解説】** 2：都道府県知事は、施術者若しくは施術所の開設者から施術所の構造設備もしくは衛生上の措置の実施状況について報告を提出させることができる。また、当該職員にその施術所に臨検し検査させることができる［あはき法第10条第1項］。"
111,関係法規,20,第30回,問題11,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する規制,あはき法で、施術所の構造設備基準として正しいのはどれか。,1. 6.6平方メートル以上の待合室,2. 6.6平方メートル以上の施術室,3. 換気装置の設置,,3,"**【解説】** 1：待合室は3.3平方メートル以上。2：施術室は6.6平方メートル以上。3：換気装置の設置（または外気に開放し得る窓）が義務付けられている。"
112,関係法規,21,第30回,問題11,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する規制,あはき法で、都道府県知事が行った指示に関して意見を述べることができるのはどれか。,1. 地方厚生局長,2. 市町村長,3. 保健所長,4. 医師の団体,4,"**【解説】** 4：医師の団体は、都道府県知事が行った施術者に対する指示に関して、都道府県知事に意見を述べることができる［あはき法第8条第2項］。"
113,関係法規,22,第33回,問題13,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する規制,あはき法で、都道府県知事は施術者に対し、衛生上害を生ずるおそれがあると認めるときは、その業務に関して必要な指示ができる。,1. 医師の団体,2. 厚生労働大臣,3. はり師、きゅう師の団体,4. 保健所長,1,"**【解説】** 問題12の解説を参照。"
114,関係法規,23,第30回,問題13,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,D. 広告の制限,あはき法で、施術所について広告できるのはどれか。,1. パルス鍼,2. やいと,3. 認定鍼灸師,4. 労災保険の適用,2,"**【解説】** 2：広告できる事項は①**施術者である旨、施術者の氏名・住所**、②**業務の種類**、③**施術所の名称・電話番号・所在の場所を表示する事項**、④**施術日・施術時間**［以上、あはき法第7条第1項］、⑤**もみりょうじ、やいと、えつ**、⑦**小児鍼（はり）**、⑧**医療保険療養費支給申請ができる旨**、⑨**予約に基づく施術の実施**、⑩**休日・夜間における施術の実施**、⑪**出張による施術の実施**、⑫**駐車場整備に関する事項**［以上、厚生省告示第69号］。"
115,関係法規,24,第32回,問題12,2 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における業務,D. 広告の制限,あはき法で、施術所について広告できるのはどれか。,1. 美容鍼,2. 中国鍼,3. 小児鍼,4. 電気鍼,3,"**【解説】** 3：問題14の解説を参照。"
116,関係法規,25,第25回,問題14,3 罰則,A. あん摩マッサージ指圧師、はり師、きゅう師に関する罰則,あん摩マッサージ指圧師、はり師、きゅう師等に関する法律で、はり師が必要な消毒をしなかったときの罰則はどれか。,1. 1年以下の懲役,2. 50万円以下の罰金,3. 30万円以下の罰金,4. 期間を定めた業務停止,3,"**【解説】** 1：指定試験（登録）機関に関する罰則には1年以下の拘禁刑（懲役）はあるが、施術者の罰則には規定されていない。＊2025年の刑法改正により懲役刑と禁錮刑が廃止され、新たな刑として拘禁刑が創設された。2：50万円以下の罰金に処されるのは、①無免許で施術を行った者、②虚偽または不正の事実に基づいて免許を受けた者、③秘密保持義務違反である［あはき法第13条の7］。3：30万円以下の罰金に処されるのは、①あはき師の脱白または骨折の患部への施術禁止違反（医師の同意）、②**広告制限違反**、③**はり師の消毒義務違反**、④**厚生労働大臣または都道府県知事の施術者に対する指示違反**、⑤**業務停止命令違反**、⑥**施術所の届出義務違反又は虚偽の届出**、⑦**報告・臨検に応じる義務違反**、⑧**施術所の使用禁止・改善命令等違反**、⑨**届出医業類似行為業者の業務停止命令違反**である［あはき法第13条の8］。4：業務停止の処分を受けるのは欠格事由に該当した場合である［あはき法第9条］。"
117,関係法規,26,第27回,問題15,3 罰則,A. あん摩マッサージ指圧師、はり師、きゅう師に関する罰則,あん摩マッサージ指圧師、はり師、きゅう師等に関する法律で、業務停止を命ぜられた者がその期間中に業務を行った場合の罰則はどれか。,1. 免許取消し,2. 30万円以下の罰金,3. 50万円以下の罰金,4. 1年以下の懲役,2,"**【解説】** 問題1の解説を参照。業務停止命令違反は30万円以下の罰金。"
118,関係法規,27,第29回,問題13,3 罰則,A. あん摩マッサージ指圧師、はり師、きゅう師に関する罰則,あはき法で、30万円以下の罰金に処せられるのはどれか。,1. きゅう師が灸頭鍼を行った。,2. 虚偽の事実に基づいてきゅう師免許を取得した。,3. はり師が医師の同意を得ずに骨折の患部に鍼施術した。,4. はり師が必要な消毒をせずに鍼施術した。,4,"**【解説】** 問題1の解説を参照。"
119,関係法規,28,第34回,問題13,3 罰則,A. あん摩マッサージ指圧師、はり師、きゅう師に関する罰則,あはき法に基づいて罰金に処せられる行為はどれか。,1. 外科手術,2. 薬品投与,3. 薬品投与の指示,4. はり施術部位の消毒義務違反,4,"**【解説】** 1、2、3：医師の業務でありこれに違反すると医師法違反となり3年以下の拘禁刑もしくは100万円以下の罰金に処せられる［医師法第17条、第31条第1項］。4：問題1の解説を参照。"
120,関係法規,29,第30回,問題14,3 罰則,A. あん摩マッサージ指圧師、はり師、きゅう師に関する罰則,あはき法で定められている罰則で量刑が最も重いのはどれか。,1. はり師が消毒をせずに施術した。,2. 施術所の開設を届け出なかった。,3. 施術者が都道府県知事の指示に違反した。,4. 施術者が秘密保持義務に違反した。,4,"**【解説】** 問題1の解説を参照。4は50万円以下の罰金。1、2、3は30万円以下の罰金。"
121,関係法規,30,第31回,問題12,3 罰則,A. あん摩マッサージ指圧師、はり師、きゅう師に関する罰則,あはき法で、施術者が都道府県知事に虚偽の報告をしたときの罰則はどれか。,1. 免許の取消し,2. 1年以下の懲役,3. 50万円以下の罰金,4. 30万円以下の罰金,4,"**【解説】** 4：問題1の解説を参照。"
122,関係法規,31,第28回,問題12,4 関係法規,A. 医療関係法規,施術所の名称を考えさせるときに遵守しなければならない法律はどれか。,1. 医師法,2. 医療法,3. 保健師助産師看護師法,4. 理学療法士及び作業療法士法,2,"**【解説】** 2：医療法は医療施設及び医療提供の残に関する基本法であり、病院、診療所（医院、クリニック）、助産所の類似名称の使用制限が定められている［医療法第3条］。"
123,関係法規,32,第32回,問題14,4 関係法規,A. 医療関係法規,施術所の名称を付ける際に留意しなければならない法律はどれか。,1. 医療法,2. 医師法,3. 地域保健法,4. 健康増進法,1,"**【解説】** 1：問題1の解説を参照。"
124,関係法規,33,第26回,問題15,4 関係法規,A. 医療関係法規,助産所について定めている法律はどれか。,1. 地域保健法,2. 医師法,3. 保健師助産師看護師法,4. 医療法,4,"**【解説】** 4：医療法は、医療に関する選択の支援など、医療の安全の確保、病院、診療所および助産所の開設など・管理・監督、医療提供体制の確保、医療法人、地域医療連携推進法人について定めている。助産所の定義については、同法第2条で定められている。"
125,関係法規,34,第31回,問題14,4 関係法規,A. 医療関係法規,都道府県等に医療安全支援センターを設けるよう定めている法律はどれか。,1. 医療法,2. 健康増進法,3. 地域保健法,4. 医薬品医療機器等法,1,"**【解説】** 1：都道府県、保健所を設置する市及び特別区は、医療安全支援センターを設けるよう努めなければならない［医療法第6条の13］。"
126,関係法規,35,第33回,問題14,4 関係法規,A. 医療関係法規,法律と定義されている事項の組合せで正しいのはどれか。,1. 医療法 ―― 要介護認定区分,2. 地域保健法 ―― 助産所,3. 医薬品医療機器等法 ―― 管理医療機器,4. 生活保護法 ―― 国民健康保険,3,"**【解説】** 1：要介護認定の区分は介護保険法に定められる［法第7条第1項、第2項］。2：助産所は医療法に定められる［法第2条］。3：管理医療機器は医薬品医療機器等法（医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律）に定められる［法第2条第6項］。4：国民健康保険は国民健康保険法に定められる［法第2条］。"
127,関係法規,36,第34回,問題14,4 関係法規,A. 医療関係法規,特定健康診査について定めている法律はどれか。,1. 医療法,2. 健康増進法,3. 地域保健法,4. 高齢者の医療の確保に関する法律,4,"**【解説】** 4：特定健康診査は40歳以上75歳未満の医療保険加入者全員を対象に、メタボリックシンドローム（内臓脂肪症候群）の診断に必要な項目を検査することで、生活習慣病の予防・改善することを目的としている［高齢者の医療の確保に関する法律第20条］。"
128,関係法規,37,第25回,問題15,4 関係法規,B. 社会福祉（保険）関係の法律,生活保護法による扶助で現物給付はどれか。,1. 教育扶助,2. 住宅扶助,3. 医療扶助,4. 生活扶助,3,"**【解説】** 保護の種類は次の通りである。①生活扶助、②教育扶助、③住宅扶助、④医療扶助、⑤介護扶助、⑥出産扶助、⑦生業扶助、⑧葬祭扶助［生活保護法第11条］。保護のうち3：医療扶助と介護扶助は、原則、現物給付によって支給される。"
129,関係法規,38,第25回,問題15,4 関係法規,B. 社会福祉（保険）関係の法律,受動喫煙の防止を規定しているのはどれか。,1. 健康増進法,2. 地域保健法,3. 介護保険法,4. 高齢者の医療の確保に関する法律,1,"**【解説】** 1：健康増進法は、生活習慣病を防ぐことを含めて食生活、運動、飲酒、喫煙などの生活習慣慣改変を健康増進の概念とし、国民の栄養の改善その他の国民の健康の増進を図るための措置を講じ、もって国民健康の向上を図ることを目的としている。第25条では、公共の場での**受動喫煙の防止**を規定している。"
130,関係法規,39,第29回,問題14,4 関係法規,B. 社会福祉（保険）関係の法律,保健所の設置根拠となる法律はどれか。,1. 医療法,2. 感染症法,3. 健康増進法,4. 地域保健法,4,"**【解説】** 4：保健所は都道府県、地方自治法の指定都市、中核市、政令で定める市、特別区に設置する［法第5条］。"
